NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,smiles
0,,,,,,,,,,,,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC.Cl.Cl
,,,,,,,,,0,,,Cl.O[C@@H](CNC[C@H](O)[C@H]1CCC2:C:C(F):C:C:C:2O1)[C@@H]1CCC2:C:C(F):C:C:C:2O1
,,,,,,,0,,,,,CC(C)(C)CC(C)(C)C1:C:C:C(O):C(CC2:C:C:C(Cl):C:C:2Cl):C:1
,,,,,,,0,,,,,CCCCCNC(=N)N/N=C/C1:C:[NH]:C2:C:C:C(OC):C:C:1:2
,,,,,,,1,,,,,O=C(CCl)C1:C:C:C(Cl):C:C:1Cl
,,,,,,,,,0,,,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
,,,,,,,1,,,,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
0,,,,,,,,,,,,CCCCCCCCCCCC[N+](C)(C)CCOC1:C:C:C:C:C:1.[Br-]
,,,,,,,1,,,,,CCCCCCCCCCCCCCCC[N+]1:C:C:C:C:C:1.[Br-]
,,,,,,,,,1,,,CN(C)C1:C:C:C(C(=C2C=CC(=[N+](C)C)C=C2)C2:C:C:C(N(C)C):C:C:2):C:C:1.[Cl-]
,,,,,,,1,,,,,CC1=C(C(=O)OC(C)C)C(C2:C:C:C:C([N+](=O)[O-]):C:2)C(C(=O)OC2CN(C(C3:C:C:C:C:C:3)C3:C:C:C:C:C:3)C2)=C(N)N1
,,,,,,,,,1,,,ClC1:C:C:C(CO/N=C(\CN2:C:C:N:C:2)C2:C:C:C(Cl):C:C:2Cl):C(Cl):C:1.O=[N+]([O-])O
,,,,,,,,,0,,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC5:O:N:C:C:5C[C@]4(C)[C@H]3CC[C@@]21C
,,,,,,,0,,,,,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N=N2)[C@H]1C1CCC(F)CC1)C1:C:C(C(F)(F)F):C:C(C(F)(F)F):C:1
,,,,,,,,,1,,,C[N+]1:C:C2:C3:C(:C:C:C:2:C2:C:C:C4:C:C5:C(:C:C:4:C:2:1)OCO5)OCO3
,,,,,,,,,1,,,CC1:C:C(C2CCCCC2):N(O):C(=O):C:1.NCCO
,,,,,,,,,1,,,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)CC2:C:C:C:C:C:2)C1C1:C:C:C:C([N+](=O)[O-]):C:1
,,,,,,,,,0,,,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(C3:C:C:C:C:C:3)C3:C:C:C:C:C:3)CC2)C1C1:C:C:C:C([N+](=O)[O-]):C:1.Cl.Cl
,,,,,,,,,0,,,CN1CCCC(CC2C3:C:C:C:C:C:3SC3:C:C:C:C:C:32)C1.Cl
,,,,,,,,,0,,,Cl.O[C@@H](C1:C:C(C(F)(F)F):N:C2:C(C(F)(F)F):C:C:C:C:1:2)[C@H]1CCCCN1
,,,,,,,,,0,,,Cl.O=C(C1:C:C:C(OCCN2CCCCC2):C:C:1)C1:C(C2:C:C:C(O):C:C:2):S:C2:C:C(O):C:C:C:1:2
,,,,,,,,,1,,,CN(C)C(=S)SC(=S)N(C)C
,,,,,,,,,1,,,CN(C)C(=S)SSC(=S)N(C)C
,,,,,,,,,0,,,CN(C)CCCN1C2:C:C:C:C:C:2SC2:C:C:C(Cl):C:C:21
0,,,,,,,,,,,,COC1:C:C:C(CCN2CCC(NC3:N:C4:C:C:C:C:C:4:N:3CC3:C:C:C(F):C:C:3)CC2):C:C:1
,,,,,,,,,0,,,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)C4:C(O):C:C:C:C:4C[C@H]3C[C@@H]12
,,,,,,,,,1,,,CC(O)C(=O)O.CCOC1:C:C:C2:N:C3:C:C(N):C:C:C:3:C(N):C:2:C:1.O
,,,,,,,,,0,,,CCCCCCOC(=O)/N=C(/N)C1:C:C:C(NCC2:N:C3:C:C(C(=O)N(CCC(=O)OCC)C4:C:C:C:C:N:4):C:C:C:3:N:2C):C:C:1
,,,,,,,,,0,,,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@]4(C)[C@H]5C[C@@H](O)[C@]6(C)[C@@H](C7=CC(=O)OC7)CC[C@]6(O)[C@@H]5CC[C@@H]4C3)O[C@@H]2C)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](C)O1
,,,,,,,,,0,,,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
,,,,,,,,,0,,,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](C6:C:C:C(=O):O:C:6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O
,,,,,,,1,,,,,CC1=CC(=O)C2:C:C:C:C:C:2C1=O
,,,,,,,,,1,,,O=C(NC1:C:C:C(Br):C:C:1)C1:C:C(Br):C:C(Br):C:1O
,,,,,,,,,0,,,CC1:C:C(O):C2:C3:C4:C(:C:C(O):C:1:3)C(C)(C)C(=O)C1:C(O):C:C(O):C(:C:14)C2=O
,,,,,,,1,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-]
,,,,,,,1,,,,,CC(C)(C)CC(C)(C)C1:C:C:C(OCCOCC[N+](C)(C)CC2:C:C:C:C:C:2):C:C:1.[Cl-]
,,,,,,,1,,,,,CC1:C:C(OCCOCC[N+](C)(C)CC2:C:C:C:C:C:2):C:C:C:1C(C)(C)CC(C)(C)C.[Cl-]
,,,,,,,,,1,,,ClC1:C:C:C(CSC(CN2:C:C:N:C:2)C2:C:C:C(Cl):C:C:2Cl):C:C:1.O=[N+]([O-])O
,,,,,,,,,1,,,CC[C@@]1(O)C(=O)OCC2:C1:C:C1:N(:C:2=O)CC2:C1:N:C1:C:C:C:C:C:1:C:2/C=N/OC(C)(C)C
,,,,,,,0,,,,,CCCCC1:O:C2:C:C:C:C:C:2:C:1C(=O)C1:C:C(I):C(OCCN(CC)CC):C(I):C:1
,,,,,,,,,0,,,COCC(=O)O[C@]1(CCN(C)CCCC2:N:C3:C:C:C:C:C:3:[NH]:2)CCC2:C:C(F):C:C:C:2[C@@H]1C(C)C.Cl.Cl
0,,,,,,,,,,,,CSC1:C:C:C2:C(:C:1)N(CCC1CCCCN1C)C1:C:C:C:C:C:1S2.Cl
,,,,,,,,,0,,,CCCCCCCCCCOCC(O)CN.Cl
,,,,,,,,,1,,,ClC1:C:C:C(C(CN2:C:C:N:C:2)OCC2:C:C:S:C:2Cl):C(Cl):C:1
,,,,,,,,,0,,,CN1CCC[C@@H]1CCO[C@](C)(C1:C:C:C:C:C:1)C1:C:C:C(Cl):C:C:1.O=C(O)/C=C/C(=O)O
,,,,,,,,,0,,,CSC1:C:C:C2:C(:C:1)N(CCC1CCCCN1C)C1:C:C:C:C:C:1S2
,,,,,,,,,0,,,COC1:C:C:C2:C:C:1OC1:C:C:C(:C:C:1)C[C@H]1C3:C(:C:C4:C(:C:3OC3:C:C5:C(:C:C:3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C
,,,,,,,,,0,,,OCCN1CCN(CC/C=C2/C3:C:C:C:C:C:3SC3:C:C:C(C(F)(F)F):C:C:32)CC1
,,,,,,,,,0,,,O=C1NCCN1CCN1CCC(C2:C:N(C3:C:C:C(F):C:C:3):C3:C:C:C(Cl):C:C:2:3)CC1
,,,,,,,,,0,,,NC(=O)N1:C(O):C(C(=O)C2:C:C:C:S:2):C2:C:C(Cl):C:C:C:2:1
,,,,,,,0,,,,,CCCCCCCCCCCCCCCCC(C(=O)O)C(O)(CC(=O)O)C(=O)O
,,,,,,,,,0,,,CCN(CC)CCNC(=O)C1C(C)=NC(/C=C2\C(=O)NC3:C:C:C(F):C:C:32)=C1C.O=C(O)CC(O)C(=O)O
,,,,,,,,,0,,,NC1:C:C:C2:C:C3:C:C:C(N):C:C:3:N:C:2:C:1.NC1:C:C:C2:C:C3:C:C:C(N):C:C:3:N:C:2:C:1.O=S(=O)(O)O
,,,,,,,,,1,,,CC1:C:C(O):C2:C:C:C:C:C:2:C:1O
,,,,,,,,,0,,,CC1:C:C:C(C(=O)C2:C:C(O):C(O):C([N+](=O)[O-]):C:2):C:C:1
,,,,,,,0,,,,,CC1:C:C(=O):O:C2:C:C(O):C:C:C:1:2
,,,,,,,,,0,,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
,,,,,,,,,0,,,CCCCCCCCCCCCCC[N+](C)(C)CC1:C:C:C:C:C:1.O.O.[Cl-]
,,,,,,,1,,,,,CCN1C(=CC=CC2:C:C:C3:C:C:C:C:C:3:[N+]:2CC)C=CC2:C:C:C:C:C:21.[I-]
,,,,,,,,,1,,,ClC1:C:C:C(CCC(CN2:C:C:N:C:2)SC2:C(Cl):C:C:C:C:2Cl):C:C:1.O=[N+]([O-])O
,,,,,,,,,0,,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4:C:C(OC5CCCC5):C:C:C:4[C@H]3CC[C@@]21C
,,,,,,,,,0,,,CC(C)=CCC/C(C)=C/CC/C(C)=C/C(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
,,,,,,,,,1,,,C1:C:C:C(C2:C:C:C(C(C3:C:C:C:C:C:3)N3:C:C:N:C:3):C:C:2):C:C:1
,,,,,,,0,,,,,CC(=O)O.CC1:C(C2:C:C:C(O):C:C:2):N(CC2:C:C:C(OCCN3CCCCCC3):C:C:2):C2:C:C:C(O):C:C:1:2
,,,,,,,1,,,,,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
,,,,,,,,,0,,,CCCCN(CCCC)CC(O)C1:C:C(Cl):C:C2:C:1C1:C:C:C(Cl):C:C:1/C2=C/C1:C:C:C(Cl):C:C:1
,,,,,,,,,0,,,CCN(CC)CCNC1:C:C:C(CO):C2:S:C3:C:C:C:C:C:3:C(=O):C:1:2
,,,,,,,,,0,,,CCC(=O)C1:C:C:C2:C(:C:1)N(CCCN(C)C)C1:C:C:C:C:C:1S2.Cl
,,,,,,,,,0,,,C[C@H]1CN(CCCN2:C3:C:C:C:C:C:3:C3:C:C:C:C:C:3:2)C[C@@H](C)N1.Cl.Cl
,,,,,,,,,0,,,CN1CCN(CCCN2C3:C:C:C:C:C:3SC3:C:C:C(C(F)(F)F):C:C:32)CC1.Cl.Cl
,,,,,,,,,1,,,Cl.O=C(C1:C:C:C(F):C:C:1)C1CCN(CCN2:C(=S):[NH]:C3:C:C:C:C:C:3:C:2=O)CC1
,,,,,,,,,1,,,O=C1:[NH]:S:C2:C:C(Cl):C:C:C:1:2
,,,,,,,1,,,,,CCOC(=O)N1CCC(=C2C3:C:C:C(Cl):C:C:3CCC3:C:C:C:N:C:32)CC1
,,,,,,,,,1,,,ClC1:C:C:C(C(CN2:C:C:N:C:2)OCC2:C(Cl):C:C:C:C:2Cl):C(Cl):C:1
,,,,,,,,,0,,,CN(C)CC/C=C1\C2:C:C:C:C:C:2SC2:C:C:C(Cl):C:C:21
,,,,,,,,,0,,,CN(C)CCCN1C2:C:C:C:C:C:2CCC2:C:C:C:C:C:21
,,,,,,,,,0,,,CO[C@H]1/C=C/O[C@@]2(C)OC3:C(C):C(O):C4:C(O):C(:C(/C=N/N5CCN(C)CC5):C(O):C:4:C:3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
,,,,,,,,,0,,,CN1CCN(CCC(=O)N2C3:C:C:C:C:C:3SC3:C:C:C(C(F)(F)F):C:C:32)CC1
,,,,,,,,,0,,,COC1:C:C:C(CCN2CCC(NC3:N:C4:C:C:C:C:C:4:N:3CC3:C:C:C(F):C:C:3)CC2):C:C:1
,,,,,,,1,,,,,O=C(O)CN1:C(C(=O)NC2:N:C(C3:C:C:C:C:C:3Cl):C:S:2):C:C2:C:C:C:C:C:2:1
,,,,,,,,,0,,,CN1CCN(CCCN2C3:C:C:C:C:C:3SC3:C:C:C(Cl):C:C:32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
,,,,,,,,,1,,,C=C(C1:C:C:C(C(=O)O):C:C:1)C1:C:C2:C(:C:C:1C)C(C)(C)CCC2(C)C
,,,,,,,,,1,,,CC1=NN(C2:C:C:C(C):C(C):C:2)C(=O)/C1=N/NC1:C:C:C:C(C2:C:C:C:C(C(=O)O):C:2):C:1O
,,,,,,,,,0,,,CC[C@]1(O)C[C@H]2CN(CCC3:C(:[NH]:C4:C:C:C:C:C:3:4)[C@@](C(=O)OC)(C3:C:C4:C(:C:C:3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
,,,,,,,1,,,,,C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
,,,,,,,,,1,,,OC1:C(Cl):C:C(Cl):C2:C:C:C:N:C:1:2
,,,,,,,,,0,,,COC(=O)[C@H]1[C@H]2C[C@@H]3C4:[NH]:C5:C:C(OC):C:C:C:5:C:4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/C2:C:C:C(O):C(OC):C:2)[C@@H]1OC
,,,,,,,1,,,,,CN1CCC2:C:C:C:C3:C:2[C@H]1CC1:C:C:C(O):C(O):C:13
,,,,,,,,,0,,,COC1:C:C:C:C2:C:1C(=O)C1:C(O):C3:C(:C(O):C:1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@@H]2CCCCO2)[C@H](C)O1
,,,,,,,,,0,,,OCCN1CCN(CCCN2C3:C:C:C:C:C:3SC3:C:C:C(Cl):C:C:32)CC1
,,,,,,,,,1,,,O=[N+]([O-])C1:C:C:C(O):C2:N:C:C:C:C:1:2
,,,,,,,,,1,,,ClC1:C:C:C(COC(CN2:C:C:N:C:2)C2:C:C:C(Cl):C:C:2Cl):C:C:1.O=[N+]([O-])O
,,,,,,,1,,,,,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
,,,,,,,,,0,,,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C
,,,,,,,,,1,,,C/C(=C(/OCCOC1:C:C:C(Cl):C:C:1)C1:C:C:C(Cl):C:C:1Cl)N1:C:C:N:C:1
,,,,,,,0,,,,,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
,,,,,,,,,0,,,CC1:N:C(NC2:N:C:C(C(=O)NC3:C(C):C:C:C:C:3Cl):S:2):C:C(N2CCN(CCO)CC2):N:1
,,,,,,,,,0,,,CCN(CC)CCOC1:C:C:C2:C(:C:1)C(=O)C1:C:C(OCCN(CC)CC):C:C:C:12
,,,,,,,0,,,,,CCN(CC)CCSC(=O)C(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1
,,,,,,,,,0,,,C[C@H]1C2:C:C:C:C(O):C:2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl
,,,,,,,,,0,,,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)C4:C(O):C:C:C:C:4[C@@](C)(O)[C@H]3C[C@@H]12.Cl
,,,,,,,,,1,,,Cl.NC1:C:C(C(F)(F)F):C:C:C:1S
,,,,,,,,,0,,,Cl.O=C(NC1:C:C:C:C:C:1)OCC(CN1CCCCC1)OC(=O)NC1:C:C:C:C:C:1
,,,,,,,,,1,,,CCOC(=O)[C@H](CCC1:C:C:C:C:C:1)N[C@H]1CCC2:C:C:C:C:C:2N(CC(=O)O)C1=O.Cl
,,,,,,,,,1,,,OC1:C(Cl):C:C(Cl):C(Cl):C:1CC1:C(O):C(Cl):C:C(Cl):C:1Cl
,,,,,,,,,1,,,O=C(NC1:C:C:C(OC2:C:C:C(Cl):C:C:2):C(Cl):C:1)C1:C:C(I):C:C(I):C:1O
,,,,,,,,,1,,,OC1:C:C(Cl):C:C:C:1OC1:C:C:C(Cl):C:C:1Cl
,,,,,,,,,0,,,O=C(NC1:C:C:C(Cl):C:C:1)NC1:C:C:C(Cl):C(Cl):C:1
,,,,,,,,,0,,,C[C@]12CC[C@@H]3C4:C:C:C(OC(=O)N(CCCl)CCCl):C:C:4CC[C@H]3[C@@H]1CC[C@@H]2O
,,,,,,,,,0,,,CN1CCN(C2=NC3:C:C(Cl):C:C:C:3NC3:C:C:C:C:C:32)CC1
,,,,,,,,,0,,,CNCCCCOC1:C:C:C:C:C:1CC1:C:C:C:C:C:1
,,,,,,,,,0,,,CC[C@H]1CN2CCC3:C:C(OC):C(OC):C:C:3[C@@H]2C[C@@H]1C[C@H]1NCCC2:C:C(OC):C(OC):C:C:21
,,,,,,,,,0,,,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
,,,,,,,,,0,,,CN(CC1:C:N:C2:N:C(N):N:C(N):C:2:N:1)C1:C:C:C(C(=O)N[C@@H](CCC(=O)O)C(=O)O):C:C:1
,,,,,,,,,0,,,CCC1=C[C@@H]2CN(C1)CC1:C(:[NH]:C3:C:C:C:C:C:1:3)[C@@](C(=O)OC)(C1:C:C3:C(:C:C:1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2.O=C(O)C(O)C(O)C(=O)O.O=C(O)C(O)C(O)C(=O)O
,,,,,,,,,0,,,COC1:C(C):C2:C(:C(O):C:1C/C=C(\C)CCC(=O)O)C(=O)OC2
,,,,,,,,,0,,,COC1=CC(=O)C[C@@H](C)[C@]12OC1:C(Cl):C(OC):C:C(OC):C:1C2=O
,,,,,,,,,0,,,C[C@H]1C[C@H](C)C(=O)[C@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1
,,,,,,,0,,,,,O=C1CC2:C:C(CCN3CCN(C4:N:S:C5:C:C:C:C:C:4:5)CC3):C(Cl):C:C:2N1
,,,,,,,,,0,,,O=C1:[NH]:C2:C:C:C:C:C:2:N:1CCCN1CCN(C(C2:C:C:C:C:C:2)C2:C:C:C:C:C:2)CC1
,,,,,,,,,0,,,COC1:C:C:C:C:C:1N1CCN(CC(O)COC2:C:C:C:C3:C:C:C:C:C:2:3)CC1
,,,,,,,,,1,,,CC1:C:C:C2:C(Br):C:C(Br):C(O):C:2:N:1
,,,,,,,,,1,,,O=S(C1:C:C(Cl):C:C(Cl):C:1O)C1:C:C(Cl):C:C(Cl):C:1O
0,,,1,,,,,,,,,CC/C(=C(\C1:C:C:C(O):C:C:1)C1:C:C:C(OCCN(C)C):C:C:1)C1:C:C:C:C:C:1
,,,,,,,,,0,,,CC(C)C1:C(C(=O)NC2:C:C:C:C:C:2):C(C2:C:C:C:C:C:2):C(C2:C:C:C(F):C:C:2):N:1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)C1:C(C(=O)NC2:C:C:C:C:C:2):C(C2:C:C:C:C:C:2):C(C2:C:C:C(F):C:C:2):N:1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2]
,,,,,,,,,0,,,O=C1C2:C:C:C:C:C:2C(=O)C1C1:C:C:C(Br):C:C:1
,,,,,,,,,0,,,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
,,,,,,,,,0,,,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
,,,,,,,,,0,,,CC(C)(C)CC(C)(C)C1:C:C:C(O):C(N2:N:C3:C:C:C:C:C:3:N:2):C:1
,,,,,,,1,,,,,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
,,,,,,,,,0,,,CC(C)C1:N:C(CN(C)C(=O)N[C@H](C(=O)N[C@@H](CC2:C:C:C:C:C:2)C[C@H](O)[C@H](CC2:C:C:C:C:C:2)NC(=O)OCC2:C:N:C:S:2)C(C)C):C:S:1
,,,,,,,,,0,,,CC1:N:C(C2:C:C:C(OCC(C)C):C(C#N):C:2):S:C:1C(=O)O
,,,,,,,,,0,,,CC(C)COCC(CN(CC1:C:C:C:C:C:1)C1:C:C:C:C:C:1)N1CCCC1
,,,,,,,,,1,,,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/C1:C(C):C:C(OC):C(C):C:1C
,,,,,,,,,0,,,CCCCC(CC)COC(=O)C(C#N)=C(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1
,,,,,,,,,0,,,CCCN(CCC)C(=O)CC1:C(C2:C:C:C(Cl):C:C:2):N:C2:C:C:C(Cl):C:N:1:2
,,,,,,,,,0,,,CCC(CN)=C(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1.Cl
,,,,,,,,,0,,,Cl.ClC1:C:C:C(C(OCCN2CCCCC2)C2:C:C:C:C:C:2):C:C:1
,,,,,,,,,0,,,CN1CC[C@H](C2:C(O):C:C(O):C3:C(=O):C:C(C4:C:C:C:C:C:4Cl):O:C:2:3)[C@H](O)C1.Cl
,,,,,,,1,,,,,COC1:C:C:C:C(C(=O)CCN[C@@H](C)[C@H](O)C2:C:C:C:C:C:2):C:1.Cl
,,,,,,,0,,,,,CC(CC1:C:C:C:C(C(F)(F)F):C:1)NCCOC(=O)C1:C:C:C:C:C:1.Cl
,,,,,,,,,0,,,N=C(NCCCCCCNC(=N)NC(=N)NC1:C:C:C(Cl):C:C:1)NC(=N)NC1:C:C:C(Cl):C:C:1
,,,,,,,,,0,,,CN(C)[C@@H](CCOC1:C:C:C:C2:C:C:C:C:C:1:2)C1:C:C:C:C:C:1
,,,,,,,,,0,,,CC1:C(C):N(CCN(C)C):C2:C:C:C(C(=O)OCCN(C)C):C:C:1:2
,,,,,,,,,0,,,CC1:C(C):N(CC2:C:C:C:C:C:2):C2:C:C:C(C(=O)OCCN(C)C):C:C:1:2
,,,,,,,,,0,,,COC1:C:C([C@@H]2C3:C:C4:C(:C:C:3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4):C:C(OC):C:1OC
,,,,,,,,,0,,,COC(=O)[C@H]1[C@H]2C[C@@H]3C4:[NH]:C5:C:C(OC):C:C:C:5:C:4CCN3C[C@H]2C[C@@H](OC(=O)C2:C:C(OC):C(OC):C(OC):C:2)[C@@H]1OC
,,,,,,,,,0,,,COC1:C:C:C:C2:C:1C(=O)C1:C(O):C3:C(:C(O):C:1C2=O)C[C@@](O)(C(=O)CO)CC3OC1CC(N2CCOC(OC)C2)C(O)C(C)O1
,,,,,,,,,0,,,CC1:C:C:C(NC(=O)C2:C:C:C(CN3CCN(C)CC3):C:C:2):C:C:1NC1:N:C:C:C(C2:C:C:C:N:C:2):N:1.CS(=O)(=O)O
,,,,,,,,,0,,,COC1:C:C2:N:C(N3CCN(C(=O)C4COC5:C:C:C:C:C:5O4)CC3):N:C(N):C:2:C:C:1OC.CS(=O)(=O)O
,,,,,,,,,0,,,N#CC1:N:N(C2:C(Cl):C:C(C(F)(F)F):C:C:2Cl):C(N):C:1S(=O)C(F)(F)F
,,,,,,,,,0,,,CC1:N:C2:N(:C(=O):C:1CCN1CCC(C(=O)C3:C:C:C(F):C:C:3)CC1)CCS2
,,,,,,,,,1,,,CCC1:O:C2:C:C:C:C:C:2:C:1C(=O)C1:C:C(I):C(O):C(I):C:1
,,,,,,,,,0,,,CCC(CC1:C(I):C:C(I):C(N):C:1I)C(=O)O
,,,,,,,,,0,,,CC1:C:C:C(C2:C:C(C(F)(F)F):N:N:2C2:C:C:C(S(N)(=O)=O):C:C:2):C:C:1
,,,,,,,,,0,,,CN1CC2:C:C(C(=O)N3CCC(C4CCNCC4)CC3):C:C:C:2N[C@@H](CC(=O)O)C1=O
